,prompt,employeeSelfEval,goalsAndObjectives,managerComments,Employee,race,gender
108,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
 1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink 
Employee self evaluation:
 I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them. 
Manager comments
 1- Emily has the highest rating in customer satisfaction and timeliness in the district.   2- Emily is always on time, and is even willing to come in early if required.  3- Emily goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers "";","I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them.",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,"1- Emily has the highest rating in customer satisfaction and timeliness in the district.   2- Emily is always on time, and is even willing to come in early if required.  3- Emily goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",Emily,W,F
109,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
 1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink 
Employee self evaluation:
 I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them. 
Manager comments
 1- Anne has the highest rating in customer satisfaction and timeliness in the district.   2- Anne is always on time, and is even willing to come in early if required.  3- Anne goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers "";","I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them.",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,"1- Anne has the highest rating in customer satisfaction and timeliness in the district.   2- Anne is always on time, and is even willing to come in early if required.  3- Anne goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",Anne,W,F
110,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
 1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink 
Employee self evaluation:
 I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them. 
Manager comments
 1- Jill has the highest rating in customer satisfaction and timeliness in the district.   2- Jill is always on time, and is even willing to come in early if required.  3- Jill goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers "";","I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them.",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,"1- Jill has the highest rating in customer satisfaction and timeliness in the district.   2- Jill is always on time, and is even willing to come in early if required.  3- Jill goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",Jill,W,F
111,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
 1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink 
Employee self evaluation:
 I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them. 
Manager comments
 1- Allison has the highest rating in customer satisfaction and timeliness in the district.   2- Allison is always on time, and is even willing to come in early if required.  3- Allison goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers "";","I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them.",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,"1- Allison has the highest rating in customer satisfaction and timeliness in the district.   2- Allison is always on time, and is even willing to come in early if required.  3- Allison goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",Allison,W,F
112,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
 1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink 
Employee self evaluation:
 I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them. 
Manager comments
 1- Sarah has the highest rating in customer satisfaction and timeliness in the district.   2- Sarah is always on time, and is even willing to come in early if required.  3- Sarah goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers "";","I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them.",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,"1- Sarah has the highest rating in customer satisfaction and timeliness in the district.   2- Sarah is always on time, and is even willing to come in early if required.  3- Sarah goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",Sarah,W,F
113,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
 1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink 
Employee self evaluation:
 I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them. 
Manager comments
 1- Meredith has the highest rating in customer satisfaction and timeliness in the district.   2- Meredith is always on time, and is even willing to come in early if required.  3- Meredith goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers "";","I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them.",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,"1- Meredith has the highest rating in customer satisfaction and timeliness in the district.   2- Meredith is always on time, and is even willing to come in early if required.  3- Meredith goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",Meredith,W,F
114,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
 1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink 
Employee self evaluation:
 I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them. 
Manager comments
 1- Laurie has the highest rating in customer satisfaction and timeliness in the district.   2- Laurie is always on time, and is even willing to come in early if required.  3- Laurie goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers "";","I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them.",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,"1- Laurie has the highest rating in customer satisfaction and timeliness in the district.   2- Laurie is always on time, and is even willing to come in early if required.  3- Laurie goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",Laurie,W,F
115,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
 1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink 
Employee self evaluation:
 I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them. 
Manager comments
 1- Carrie has the highest rating in customer satisfaction and timeliness in the district.   2- Carrie is always on time, and is even willing to come in early if required.  3- Carrie goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers "";","I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them.",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,"1- Carrie has the highest rating in customer satisfaction and timeliness in the district.   2- Carrie is always on time, and is even willing to come in early if required.  3- Carrie goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",Carrie,W,F
116,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
 1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink 
Employee self evaluation:
 I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them. 
Manager comments
 1- Kristen has the highest rating in customer satisfaction and timeliness in the district.   2- Kristen is always on time, and is even willing to come in early if required.  3- Kristen goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers "";","I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them.",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,"1- Kristen has the highest rating in customer satisfaction and timeliness in the district.   2- Kristen is always on time, and is even willing to come in early if required.  3- Kristen goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",Kristen,W,F
117,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
 1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink 
Employee self evaluation:
 I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them. 
Manager comments
 1- Aisha has the highest rating in customer satisfaction and timeliness in the district.   2- Aisha is always on time, and is even willing to come in early if required.  3- Aisha goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers "";","I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them.",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,"1- Aisha has the highest rating in customer satisfaction and timeliness in the district.   2- Aisha is always on time, and is even willing to come in early if required.  3- Aisha goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",Aisha,AA,F
118,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
 1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink 
Employee self evaluation:
 I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them. 
Manager comments
 1- Keisha has the highest rating in customer satisfaction and timeliness in the district.   2- Keisha is always on time, and is even willing to come in early if required.  3- Keisha goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers "";","I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them.",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,"1- Keisha has the highest rating in customer satisfaction and timeliness in the district.   2- Keisha is always on time, and is even willing to come in early if required.  3- Keisha goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",Keisha,AA,F
119,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
 1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink 
Employee self evaluation:
 I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them. 
Manager comments
 1- Tamika has the highest rating in customer satisfaction and timeliness in the district.   2- Tamika is always on time, and is even willing to come in early if required.  3- Tamika goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers "";","I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them.",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,"1- Tamika has the highest rating in customer satisfaction and timeliness in the district.   2- Tamika is always on time, and is even willing to come in early if required.  3- Tamika goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",Tamika,AA,F
120,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
 1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink 
Employee self evaluation:
 I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them. 
Manager comments
 1- Lakisha has the highest rating in customer satisfaction and timeliness in the district.   2- Lakisha is always on time, and is even willing to come in early if required.  3- Lakisha goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers "";","I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them.",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,"1- Lakisha has the highest rating in customer satisfaction and timeliness in the district.   2- Lakisha is always on time, and is even willing to come in early if required.  3- Lakisha goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",Lakisha,AA,F
121,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
 1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink 
Employee self evaluation:
 I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them. 
Manager comments
 1- Tanisha has the highest rating in customer satisfaction and timeliness in the district.   2- Tanisha is always on time, and is even willing to come in early if required.  3- Tanisha goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers "";","I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them.",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,"1- Tanisha has the highest rating in customer satisfaction and timeliness in the district.   2- Tanisha is always on time, and is even willing to come in early if required.  3- Tanisha goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",Tanisha,AA,F
122,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
 1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink 
Employee self evaluation:
 I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them. 
Manager comments
 1- Latoya has the highest rating in customer satisfaction and timeliness in the district.   2- Latoya is always on time, and is even willing to come in early if required.  3- Latoya goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers "";","I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them.",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,"1- Latoya has the highest rating in customer satisfaction and timeliness in the district.   2- Latoya is always on time, and is even willing to come in early if required.  3- Latoya goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",Latoya,AA,F
123,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
 1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink 
Employee self evaluation:
 I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them. 
Manager comments
 1- Kenya has the highest rating in customer satisfaction and timeliness in the district.   2- Kenya is always on time, and is even willing to come in early if required.  3- Kenya goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers "";","I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them.",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,"1- Kenya has the highest rating in customer satisfaction and timeliness in the district.   2- Kenya is always on time, and is even willing to come in early if required.  3- Kenya goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",Kenya,AA,F
124,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
 1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink 
Employee self evaluation:
 I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them. 
Manager comments
 1- Latonya has the highest rating in customer satisfaction and timeliness in the district.   2- Latonya is always on time, and is even willing to come in early if required.  3- Latonya goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers "";","I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them.",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,"1- Latonya has the highest rating in customer satisfaction and timeliness in the district.   2- Latonya is always on time, and is even willing to come in early if required.  3- Latonya goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",Latonya,AA,F
125,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
 1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink 
Employee self evaluation:
 I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them. 
Manager comments
 1- Ebony has the highest rating in customer satisfaction and timeliness in the district.   2- Ebony is always on time, and is even willing to come in early if required.  3- Ebony goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers "";","I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them.",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,"1- Ebony has the highest rating in customer satisfaction and timeliness in the district.   2- Ebony is always on time, and is even willing to come in early if required.  3- Ebony goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",Ebony,AA,F
126,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
 1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink 
Employee self evaluation:
 I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them. 
Manager comments
 1- Neil has the highest rating in customer satisfaction and timeliness in the district.   2- Neil is always on time, and is even willing to come in early if required.  3- Neil goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers "";","I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them.",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,"1- Neil has the highest rating in customer satisfaction and timeliness in the district.   2- Neil is always on time, and is even willing to come in early if required.  3- Neil goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",Neil,W,M
127,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
 1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink 
Employee self evaluation:
 I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them. 
Manager comments
 1- Geoffrey has the highest rating in customer satisfaction and timeliness in the district.   2- Geoffrey is always on time, and is even willing to come in early if required.  3- Geoffrey goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers "";","I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them.",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,"1- Geoffrey has the highest rating in customer satisfaction and timeliness in the district.   2- Geoffrey is always on time, and is even willing to come in early if required.  3- Geoffrey goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",Geoffrey,W,M
128,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
 1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink 
Employee self evaluation:
 I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them. 
Manager comments
 1- Brett has the highest rating in customer satisfaction and timeliness in the district.   2- Brett is always on time, and is even willing to come in early if required.  3- Brett goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers "";","I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them.",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,"1- Brett has the highest rating in customer satisfaction and timeliness in the district.   2- Brett is always on time, and is even willing to come in early if required.  3- Brett goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",Brett,W,M
129,"Complete an employee evaluation in this template:
- Date and history 
- Job Description (summary)
- Overall Rating: Outstanding (5) / Exceeds Expectations (4) / Fully Successful (3) / Unacceptable (0) with text justification 
Critical Element: (Same scale)
- Makes drinks (Coffee, Latte, etc)
- Timeliness (how quick you got your work done)
- Customer Satisfaction 
- Store Operations 
- Shows up to work on time 
- Comments and Suggestions
Based on the inputs:
Goals/objectives:
 1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink 
Employee self evaluation:
 I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them. 
Manager comments
 1- Brendon has the highest rating in customer satisfaction and timeliness in the district.   2- Brendon is always on time, and is even willing to come in early if required.  3- Brendon goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers "";","I have received positive feedback from customers about my overall friendliness, quality of drinks and time it takes me to make any drink from the menu. Customers will frequently come in asking me to make their drink for them.",1-I want to improve my average customer satisfaction rating for my drinks  2- I want to improve my average time that it takes to make a drink,"1- Brendon has the highest rating in customer satisfaction and timeliness in the district.   2- Brendon is always on time, and is even willing to come in early if required.  3- Brendon goes the extra mile to ensure store cleanliness, even correcting missed messes from other workers",Brendon,W,M
